BBANDS_60:Real Middle Band,high,STOCH_daily:SlowD,close,STOCH_daily:SlowK,open,BBANDS_60:Real Lower Band,EMA_60:EMA,AROON_60:Aroon Down,OBV_daily:OBV,low,AROON_60:Aroon Up,RSI_60:RSI,price_change_1m,WMA_60:WMA,price_change_1d,SMA_60:SMA,MACD_daily:MACD,volume,BBANDS_60:Real Upper Band,date,MACD_daily:MACD_Hist,price_change_1w,AD_daily:Chaikin A/D,ADX_60:ADX,volume_change_1w,MACD_daily:MACD_Signal,volume_change_1m,CCI_60:CCI,volume_change_1d,
21.6167,17.22,73.1576,16.67,53.3392,16.74,5.7573,21.937,83.3333,-680897.0,16.47,18.3333,36.8975,62.9874025195,17.8186,-5.57888422316,21.6167,-0.4708,106615.0,37.4761,2014-01-08,0.8214,26.6946610678,-585587.0574,,55.9864934578,-1.2921,334.398536791,-53.0314,85.9081742719,
21.4472,16.699,53.2416,15.74,27.5529,16.67,5.5529,21.7302,81.6667,-879103.0,15.63,16.6667,36.5044,95.2986022872,17.6223,13.9771283355,21.4472,-0.4511,198206.0,37.3415,2014-01-09,0.6728,56.5438373571,-743002.2996,,82.2835837462,-1.1239,177.339737445,-58.2965,-11.5753307165,
21.293,18.05,34.7908,17.94,23.4803,16.5,5.3892,21.5588,80.0,-703840.0,16.5,15.0,37.209,93.8132664437,17.4601,18.5061315496,21.293,-0.3612,175263.0,37.1969,2014-01-10,0.6102,53.8461538462,-592615.3383,,129.418645122,-0.9714,299.828828675,-43.4377,36.9170903157,
21.159,21.35,35.0234,21.26,54.0369,18.06,5.2837,21.4437,78.3333,-463875.0,18.05,13.3333,38.4465,43.6970837253,17.3538,-7.80809031044,21.159,-0.163,239965.0,37.0344,2014-01-13,0.6467,12.0884289746,-365739.3383,,63.4355010106,-0.8097,152.175525597,-17.4803,16.4999062363,
20.9778,21.934,50.5271,19.6,74.064,20.65,5.2716,21.3739,76.6667,-743434.0,19.315,11.6667,39.4371,83.9795918367,17.2933,3.72448979592,20.9778,0.0951,279559.0,36.684,2014-01-14,0.7238,29.7448979592,-584455.0279,,44.7300927532,-0.6287,134.50076728,-15.532,-52.4222078345,
20.7938,20.43,68.9179,20.33,78.6528,18.82,5.246,21.2872,75.0,-610426.0,18.73,10.0,39.1408,96.3108706345,17.2197,3.88588293163,20.7938,0.2495,133008.0,36.3415,2014-01-15,0.7026,17.3635022135,-467095.0279,,281.57253699,-0.4531,587.954108024,-18.5495,25.0338325514,
20.6194,21.41,75.6336,21.12,74.184,20.85,5.3005,21.2627,73.3333,-444121.0,20.54,8.3333,40.546,81.25,17.2113,16.6666666667,20.6194,0.5121,166305.0,35.9384,2014-01-16,0.7721,-4.49810606061,-411660.0279,,237.309160879,-0.26,251.249210787,-5.1912,117.249631701,
20.3854,25.0,79.2118,24.64,84.7987,22.42,5.6201,21.2994,71.6667,-82824.0,22.38,6.6667,41.9321,25.0,17.2691,12.012987013,20.3854,0.8587,361297.0,35.1508,2014-01-17,0.895,-12.7840909091,-149650.7531,,-9.46036086654,-0.0363,99.3379408077,28.7073,11.2896038439,
20.1598,27.98,83.6312,27.6,91.9108,22.96,5.9844,21.3538,70.0,319262.0,22.96,5.0,42.3629,30.0362318841,17.3535,-13.6594202899,20.1598,1.1668,402086.0,34.3352,2014-01-21,0.9625,-11.7391304348,191561.6692,,30.1132096119,0.2043,53.2129942351,55.7656,-2.46166243043,
19.9128,27.34,86.2195,23.83,81.9491,27.32,6.5233,21.4271,68.3333,-72926.0,23.59,3.3333,42.8313,51.3638271087,17.4659,6.71422576584,19.9128,1.4451,392188.0,33.3022,2014-01-22,0.9926,-8.05707091901,-150426.2668,,-8.54794129346,0.4525,58.5826185401,47.2275,3.16633859272,
